3007704;The Gone-Away World;Nick Harkaway;/book/show/3007704-the-gone-away-world;4.12;11321;2008
32894662;The Sun Jumpers;Ken Luber;/book/show/32894662-the-sun-jumpers;4.57;7;2016
16497;Berserker Fury (Berserker, #10);Fred Saberhagen;/book/show/16497.Berserker_Fury;3.56;259;1998
125755;Shadows Over Baker Street;Michael Reaves;/book/show/125755.Shadows_Over_Baker_Street;4.09;4190;2005
1129010;Pashazade: The First Arabesk;Jon Courtenay Grimwood;/book/show/1129010.Pashazade;3.84;1198;2001
277897;Working for the Devil (Dante Valentine, #1);Lilith Saintcrow;/book/show/277897.Working_for_the_Devil;3.80;11956;2006
3437316;The January Dancer (Spiral Arm, #1);Michael Flynn;/book/show/3437316-the-january-dancer;3.46;1022;2008
61994;Prince of Chaos (The Chronicles of Amber #10);Roger Zelazny;/book/show/61994.Prince_of_Chaos;3.97;9003;1995
15852526;Beyond the Event Horizon;Scott McElhaney;/book/show/15852526-beyond-the-event-horizon;3.92;220;2012
7847270;The Evolutionary Void (Void, #3);Peter F. Hamilton;/book/show/7847270-the-evolutionary-void;4.27;19066;2010
1697491;A Mirror for Observers;Edgar Pangborn;/book/show/1697491.A_Mirror_for_Observers;3.85;381;1958
816495;The Collected Stories of Philip K. Dick, Volume 2: Second Variety;Philip K. Dick;/book/show/816495.The_Collected_Stories_of_Philip_K_Dick_Volume_2;4.21;1199;1999
12015;Feersum Endjinn;Iain M. Banks;/book/show/12015.Feersum_Endjinn;3.82;9379;1996
49014733;Letters from the Light;Shel Calopa;/book/show/49014733-letters-from-the-light;4.67;33;2019
12017;Inversions (Culture, #6);Iain M. Banks;/book/show/12017.Inversions;3.92;13436;2001
12016;Look to Windward (Culture, #7);Iain M. Banks;/book/show/12016.Look_to_Windward;4.20;20991;2002
6255949;All You Need Is Kill;Hiroshi Sakurazaka;/book/show/6255949-all-you-need-is-kill;4.06;16287;2009
12013;Excession (Culture, #5);Iain M. Banks;/book/show/12013.Excession;4.21;23776;1998
161297;Schismatrix;Bruce Sterling;/book/show/161297.Schismatrix;3.90;1445;1986
161296;Schismatrix Plus;Bruce Sterling;/book/show/161296.Schismatrix_Plus;3.94;4304;1996
923763;Changewar;Fritz Leiber;/book/show/923763.Changewar;3.55;166;1983
22046891;Born of Defiance (The League: Nemesis Rising #7);Sherrilyn Kenyon;/book/show/22046891-born-of-defiance;4.45;5907;2015
101942;The Tripods Trilogy (The Tripods, #1-3);John Christopher;/book/show/101942.The_Tripods_Trilogy;4.18;2580;1988
